2025-05-10,Papier,Papier,Egalité
2025-05-10,Ciseau,Ciseau,Egalité
2025-05-10,Papier,Ciseau,Défaite
2025-05-10,Papier,Pierre,Victoire
2025-05-10,Papier,Pierre,Victoire
2025-05-10,Papier,Papier,Egalité
2025-05-10,Papier,Pierre,Victoire
2025-05-10,Papier,Pierre,Victoire
2025-05-10,Papier,Papier,Egalité
2025-05-10,Papier,Papier,Egalité
2025-05-10,Papier,Ciseau,Défaite
2025-05-10,Papier,Pierre,Victoire
2025-05-10,Papier,Papier,Egalité
2025-05-10,Papier,Papier,Egalité
2025-05-10,Ciseau,Papier,Victoire
2025-05-10,Papier,Papier,Egalité
2025-05-10,Papier,Papier,Egalité
2025-05-10,Papier,Ciseau,Défaite
2025-05-10,Papier,Pierre,Victoire
2025-05-10,Papier,Pierre,Victoire
2025-05-10,Papier,Papier,Egalité
2025-05-10,Papier,Papier,Egalité
2025-05-10,Papier,Ciseau,Défaite
2025-05-10,Ciseau,Ciseau,Egalité
2025-05-10,Papier,Papier,Egalité
2025-05-10,Papier,Ciseau,Défaite
2025-05-10,Papier,Pierre,Victoire
2025-05-10,Ciseau,Ciseau,Egalité
2025-05-10,Ciseau,Pierre,Défaite
2025-05-10,Ciseau,Papier,Victoire
2025-05-10,Ciseau,Ciseau,Egalité
2025-05-10,Ciseau,Pierre,Défaite
2025-05-10,Ciseau,Ciseau,Egalité
2025-05-10,Ciseau,Ciseau,Egalité
2025-05-11,Papier,Pierre,Victoire
2025-05-11,Papier,Ciseau,Défaite
2025-05-11,Ciseau,Papier,Victoire
2025-05-11,Ciseau,Ciseau,Egalité
2025-05-11,Ciseau,Pierre,Défaite
2025-05-11,Ciseau,Ciseau,Egalité
2025-05-11,Ciseau,Papier,Victoire
2025-05-11,Ciseau,Papier,Victoire
2025-05-11,Ciseau,Ciseau,Egalité
2025-05-11,Ciseau,Ciseau,Egalité
2025-05-11,Ciseau,Ciseau,Egalité
2025-05-11,Papier,Pierre,Victoire
2025-05-11,Papier,Ciseau,Défaite
2025-05-11,Papier,Pierre,Victoire
2025-05-11,Papier,Pierre,Victoire
2025-05-11,Papier,Pierre,Victoire
2025-05-11,Ciseau,Papier,Victoire
2025-05-11,Ciseau,Papier,Victoire
2025-05-11,Ciseau,Papier,Victoire
2025-05-11,Ciseau,Pierre,Défaite
2025-05-11,Ciseau,Pierre,Défaite
2025-05-11,Ciseau,Pierre,Défaite
2025-05-11,Ciseau,Ciseau,Egalité
2025-05-11,Ciseau,Ciseau,Egalité
2025-05-11,Ciseau,Pierre,Défaite
2025-05-11,Ciseau,Papier,Victoire
2025-05-11,Ciseau,Pierre,Défaite
2025-05-11,Papier,Ciseau,Défaite
2025-05-11,Ciseau,Ciseau,Egalité
2025-05-11,Ciseau,Pierre,Défaite
2025-05-11,Ciseau,Papier,Victoire
2025-05-11,Ciseau,Pierre,Défaite
2025-05-11,Papier,Papier,Egalité
2025-05-11,Ciseau,Papier,Victoire
2025-05-11,Ciseau,Ciseau,Egalité
2025-05-11,Ciseau,Pierre,Défaite
2025-05-11,Ciseau,Pierre,Défaite
2025-05-11,Ciseau,Pierre,Défaite
2025-05-11,Ciseau,Pierre,Défaite
2025-05-11,Ciseau,Papier,Victoire
2025-05-11,Ciseau,Ciseau,Egalité
2025-05-11,Ciseau,Papier,Victoire
2025-05-11,Ciseau,Papier,Victoire
2025-05-11,Ciseau,Papier,Victoire
2025-05-11,Ciseau,Pierre,Défaite
2025-05-11,Ciseau,Pierre,Défaite
2025-05-11,Ciseau,Papier,Victoire
2025-05-11,Ciseau,Pierre,Défaite
2025-05-11,Ciseau,Ciseau,Egalité
2025-05-11,Ciseau,Ciseau,Egalité
2025-05-11,Ciseau,Ciseau,Egalité
2025-05-11,Ciseau,Papier,Victoire
